_place,"and, place, for, there, the, kids","falls, the, walk, creek, trail, you","guys, great, episode, great episode, another great, keep","it, to, you, is, not, the","links, tours, help, book, you, in this","park, national, national park, kakadu, kakadu national, the","see, to see, to, the, art, see the","staff, store, friendly, the, friendly staff, and","the, season, darwin, in, wet, the wet","the, springs, of, katherine, alice, alice springs","was, the, tour, and, highly, he","we, were, the, was, and, had"
ChIJzY0IPJKRwCwRY2XX8TM0Iok,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Crocosaurus Cove review,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Darwin Waterfront review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Fannie Bay Gaol Darwin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kakadu National Park review,1.0,1.0,29.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0
Litchfield National Park review,0.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Mindil Beach Darwin review,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mindil Beach sunset,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nightcliff Jetty sunset,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parap Markets food,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.nomadasaurus.com/7-day-darwin-itinerary/,0.0,1.0,0.0,0.0,1.0,15.0,1.0,0.0,3.0,6.0,0.0,0.0
https://www.nomadasaurus.com/best-northern-territory-road-trips/,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,13.0,0.0,0.0
https://www.nomadasaurus.com/best-time-to-visit-darwin/,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
https://www.nomadasaurus.com/day-trips-from-darwin/,1.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,4.0,3.0,0.0,0.0
https://www.nomadasaurus.com/kakadu-national-park-walks/,0.0,18.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
https://www.nomadasaurus.com/litchfield-national-park-walks/,0.0,13.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.nomadasaurus.com/places-to-visit-in-the-northern-territory/,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,15.0,0.0,0.0
https://www.nomadasaurus.com/things-to-do-in-the-northern-territory/,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,13.0,0.0,0.0
